team,player,status
"Australia","Matt Faessler","no_image"
"Australia","Josh Nasser","no_image"
"Australia","Billy Pollard","no_image"
"Australia","Angus Bell","no_image"
"Australia","Aidan Ross","no_image"
"Australia","Josh Canham","no_image"
"Australia","Nick Frost","no_image"
"Australia","Jeremy Williams","no_image"
"Australia","Tom Hooper","no_image"
"Australia","Carlo Tizzano","no_image"
"Australia","Rob Valetini","no_image"
"Australia","Harry Wilson","no_image"
"Australia","Ryan Lonergan","no_image"
"Australia","Kalani Thomas","no_image"
"Australia","Tane Edmed","no_image"
"Australia","Carter Gordon","no_image"
"Australia","Josh Flook","no_image"
"Australia","Max Jorgensen","no_wiki_page"
"Australia","Dylan Pietsch","no_image"
"Australia","Harry Potter","no_image"
"Romania","Ștefan Buruiană","no_image"
"Romania","Ovidiu Cojocaru","no_image"
"Romania","Robert Irimescu","no_image"
"Romania","Thomas Crețu","no_image"
"Romania","Iulian Harțig","no_image"
"Romania","Cosmin Manole","no_image"
"Romania","Joji Sikote","no_image"
"Romania","Ionuț Donici","no_image"
"Romania","Nicolaas Immelman","no_image"
"Romania","Andrei Mahu","no_image"
"Romania","David Trăușan","no_image"
"Romania","Kemal Altinok","no_image"
"Romania","Adrian Mitu","no_image"
"Romania","Alin Conache","no_image"
"Romania","Toma Mîrzac","no_image"
"Romania","Dănuț Jipa","no_image"
"Romania","Alexandru Bucur","no_image"
"Romania","Gabriel Pop","no_image"
"Romania","Jason Tomane","no_image"
"Romania","Tevita Manumua","no_image"
"Romania","Nicholas Onutu","no_image"
"Romania","Iliesa Tiqe","no_image"
"Romania","Ovidiu Neagu","no_image"
"Romania","Paul Popoaia","no_image"
"France","Tevita Tatafu","no_image"
"France","Hugo Auradou","no_image"
"France","Joshua Brennan","no_image"
"France","Mickaël Guillard","no_image"
"France","Alexandre Fischer","no_wiki_page"
"France","Oscar Jégou","no_wiki_page"
"France","Anthony Jelonch","no_wiki_page"
"France","Temo Matiu","no_image"
"France","Ugo Seunes","no_image"
"France","Kalvin Gourgues","no_image"
"France","Noah Nene","no_image"
"Canada","Dewald Kotze","no_image"
"Canada","Jeffrey Young","no_image"
"Canada","Cole Keith","no_image"
"Canada","Sam Miller","no_image"
"Canada","Emerson Prior","no_image"
"Canada","Kyle Steeves","no_image"
"Canada","Matt Tierney","no_image"
"Canada","Callum Botchar","no_image"
"Canada","Izzak Kelly","no_image"
"Canada","Barnaby Waddell","no_image"
"Canada","Mason Flesch","no_image"
"Canada","Matthew Oworu","no_image"
"Canada","Sion Parry","no_image"
"Canada","Lucas Rumball","no_image"
"Canada","Piers von Dadelszen","no_image"
"Canada","Brock Gallagher","no_image"
"Canada","Jason Higgins","no_image"
"Canada","James Naylor","no_image"
"Canada","Peter Nelson","no_image"
"Canada","Robbie Povey","no_image"
"Canada","Noah Flesch","no_image"
